Filename,Species,Call_clarity,Song_Call_Alarm,BirdNET_correct,If_BirdNET_incorrect_true_species,Confidence,Reason_for_misidentifcation,Comments
bawwar_23,Black-and-white Warbler,Medium,Song,Yes,NA,Medium,Low amplitude,Call can only be heard if it is amplified. 
bawwar_24,Black-and-white Warbler,Low,Song,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
bawwar_25,Black-and-white Warbler,Low,Song,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
bawwar_26,Black-and-white Warbler,Low,Song,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
bawwar_27,Black-and-white Warbler,Medium,Song,Yes,NA,Low,Medium amplitude,Call can only be heard if it is amplified. 
bawwar_28,Black-and-white Warbler,High,Song,Yes,??,High,Low amplitude,Call can only be heard if it is amplified. 
bawwar_29,Black-and-white Warbler,Medium,Song,Yes,NA,Medium,Low amplitude,Call can only be heard if it is amplified. 
bawwar_30,Black-and-white Warbler,Very Low,??,??,??,??,Very low amplitude,Call can NOT nly be heard if it is amplified. 
bawwar_31,Black-and-white Warbler,Low,Song,Yes,NA,Medium,Low amplitude,Call can only be heard if it is amplified. 
bawwar_32,Black-and-white Warbler,Very Low,Song,??,??,??,Very low amplitude,Call can NOT only be heard if it is amplified. 
bawwar_33,Black-and-white Warbler,Medium,Song,Yes,NA,Medium,Low amplitude,Call can only be heard if it is amplified. 
bawwar_34,Black-and-white Warbler,High,Song,Yes,NA,High,Low amplitude,Call can only be heard if it is amplified. 
bawwar_35,Black-and-white Warbler,High,Song,Yes,NA,High,Low amplitude,Call can only be heard if it is amplified. 
bawwar_36,Black-and-white Warbler,Medium,Song,Yes,NA,High,Low amplitude,Call can only be heard if it is amplified. 
bawwar_37,Black-and-white Warbler,Very Low,Song,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
bawwar_38,Black-and-white Warbler,High,Song,Yes,NA,Medium,Low amplitude,Call can only be heard if it is amplified. 
bawwar_39,Black-and-white Warbler,Very Low,Song,Yes,NA,Low,Very low amplitude,Call can only be heard if it is amplified. 
bawwar_40,Black-and-white Warbler,Low,Song,Yes,NA,Medium,Low amplitude,Call can only be heard if it is amplified. 
bawwar_41,Black-and-white Warbler,High,Song,Yes,NA,High,Medium amplitude,Call can only be heard if it is amplified. 
bawwar_42,Black-and-white Warbler,Low,Call,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
bawwar_43,Black-and-white Warbler,Very Low,Song,Yes,NA,Medium,Low amplitude,Call can only be heard if it is amplified. 
bawwar_44,Black-and-white Warbler,Very Low,Song,Yes,NA,Medium,Low amplitude,Call can only be heard if it is amplified. 
bawwar_45,Black-and-white Warbler,Very Low,Song,Yes,NA,Low,Very low amplitude,Call can only be heard if it is amplified. 
bawwar_46,Black-and-white Warbler,High,Song,Yes,NA,High,Medium amplitude,Call can only be heard if it is amplified. 
bawwar_47,Black-and-white Warbler,Very Low,Song,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
bawwar_48,Black-and-white Warbler,Medium,Song,Yes,NA,Medium,Medium amplitude,Call can only be heard if it is amplified. 
bawwar_49,Black-and-white Warbler,High,Song,Yes,NA,High,Medium amplitude,Call can only be heard if it is amplified. 
bawwar_50,Black-and-white Warbler,Low,Call,Yes,NA,Low,Low amplitude,Call can only be heard if it is amplified. 
blhsal1_01,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can only be heard if it is amplified. 
blhsal1_02,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_03,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_04,Black-headed Saltator,Very Low,Song,Yes,NA,Medium,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_05,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_06,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_07,Black-headed Saltator,Very Low,Call,Yes,NA,Medium,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_08,Black-headed Saltator,Low,Song,Yes,NA,High/Low,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_09,Black-headed Saltator,Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_10,Black-headed Saltator,Low,Song,Yes,NA,High,Low amplitude,Call can be heard if it is amplified. Posiblemente también una Piranga
blhsal1_11,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_12,Black-headed Saltator,Low,Song,Yes,NA,High,Low amplitude,Call can be heard if it is amplified. 
blhsal1_13,Black-headed Saltator,Low,Song,Yes,NA,High,Low amplitude,Call can be heard if it is amplified. Turdus grayi.
blhsal1_14,Black-headed Saltator,Low,Song,Yes,NA,High,Low amplitude,Call can be heard if it is amplified. Turdus grayi
blhsal1_15,Black-headed Saltator,Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
blhsal1_16,Black-headed Saltator,Low,Call,Yes,NA,High,Low amplitude,Call can be heard if it is amplified
blhsal1_17,Black-headed Saltator,Low,Song,Yes,NA,High,Low amplitude,Call can be heard if it is amplified
blhsal1_18,Black-headed Saltator,Low,Song,Yes,NA,High,Low amplitude,Call can be heard if it is amplified
blhsal1_19,Black-headed Saltator,Very Low,Call,??,??,??,Very low amplitude,Call can be heard if it is amplified. Difícil identificación.
blhsal1_20,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
blhsal1_21,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
blhsal1_22,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
blhsal1_23,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
blhsal1_24,Black-headed Saltator,Medium,Call,Yes,NA,High,Medium amplitude,Call can be heard if it is amplified. Probablemente T. aedon musculus
blhsal1_25,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_26,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_27,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_28,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_29,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_30,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_31,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_32,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_33,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_34,Black-headed Saltator,Very Low,Call,Yes,NA,Medium,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_35,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_36,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
blhsal1_37,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Una segunda especie pued ser Camptostoma imberbe de acuerdo a BirdNet
blhsal1_38,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
blhsal1_39,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
blhsal1_40,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
blhsal1_41,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
blhsal1_42,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
blhsal1_43,Black-headed Saltator,Very Low,Call,Yes,NA,Medium,Very low amplitude,Call can be heard if it is amplified.
blhsal1_44,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
blhsal1_45,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
blhsal1_46,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
blhsal1_47,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
blhsal1_48,Black-headed Saltator,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
blhsal1_49,Black-headed Saltator,Very Low,Call,Yes,NA,Medium,Very low amplitude,Call can be heard if it is amplified.
blhsal1_50,Black-headed Saltator,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_01,Boat-billed Flycatcher,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_02,Boat-billed Flycatcher,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_03,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_04,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_05,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_06,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_07,Boat-billed Flycatcher,Very Low,Call,Yes,NA,Low,Very low amplitude,Call can be heard if it is amplified.
bobfly1_08,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_09,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_10,Boat-billed Flycatcher,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_11,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
bobfly1_12,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_13,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_14,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Melanerpes aurifrons
bobfly1_15,Boat-billed Flycatcher,Very Low,Call,Yes,NA,Medium,Very low amplitude,Call can be heard if it is amplified.
bobfly1_16,Boat-billed Flycatcher,Medium,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_17,Boat-billed Flycatcher,Medium,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_18,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_19,Boat-billed Flycatcher,Medium,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_20,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_21,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_22,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_23,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_24,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_25,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_26,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_27,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Otro llamado probablemente de un Trogon calligatus
bobfly1_28,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_29,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_30,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_31,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_32,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_33,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_34,Boat-billed Flycatcher,Medium,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_35,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_36,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,"Call can be heard if it is amplified. Otra segunda especie, probablemente un Trogon"
bobfly1_37,Boat-billed Flycatcher,Very Low,Call,Yes,NA,Low,Very low amplitude,Call can not be heard if it is amplified. 
bobfly1_38,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
bobfly1_39,Boat-billed Flycatcher,Medium,Song,Yes,NA,High,Medium amplitude,"Call can be heard if it is amplified. Una segunda especie, Turdus grayi."
bobfly1_40,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_41,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_42,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_43,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_44,Boat-billed Flycatcher,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_45,Boat-billed Flycatcher,Medium,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_46,Boat-billed Flycatcher,Very Low,Song,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_47,Boat-billed Flycatcher,Very Low,Call,??,??,??,Very low amplitude,Call can not be heard if it is amplified. Difícil identificación
bobfly1_48,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_49,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bobfly1_50,Boat-billed Flycatcher,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_01,Broad-winged Hawk,Medium,Call,Yes,NA,High,Medium amplitude,Call can be heard if it is amplified.
brwhaw_02,Broad-winged Hawk,Low,Call,Yes,NA,High,Medium amplitude,Call can be heard if it is amplified.
brwhaw_03,Broad-winged Hawk,Very Low,Call,??,??,??,Very low amplitude,Call can NOT be heard if it is amplified.
brwhaw_04,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can not be heard if it is amplified.
brwhaw_05,Broad-winged Hawk,Very Low,Call,Yes,NA,Medium,Very low amplitude,Call can not be heard if it is amplified.
brwhaw_06,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can only be heard if it is amplified.
brwhaw_07,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can only be heard if it is amplified.
brwhaw_08,Broad-winged Hawk,Very Low,Call,Yes,NA,Medium,Very low amplitude,Call can not heard if it is amplified.
brwhaw_09,Broad-winged Hawk,Very Low,Call,??,??,??,Very low amplitude,Call can NOT only be heard if it is amplified.
brwhaw_10,Broad-winged Hawk,Very Low,Call,??,??,??,Very low amplitude,Call can not be heard if it is amplified.
brwhaw_11,Broad-winged Hawk,Very Low,Call,Yes,NA,Very low,Very low amplitude,Call can only be heard if it is amplified.
brwhaw_12,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_13,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
brwhaw_14,Broad-winged Hawk,Very Low,Call,Yes,NA,Low,Very low amplitude,Call can be heard if it is amplified
brwhaw_15,Broad-winged Hawk,Very Low,Call,Yes,NA,Medium,Very low amplitude,Call can be heard if it is amplified
brwhaw_16,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
brwhaw_17,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
brwhaw_18,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
brwhaw_19,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
brwhaw_20,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
brwhaw_21,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
brwhaw_22,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
brwhaw_23,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
brwhaw_24,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified
brwhaw_25,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be herad if it is amplified. Probablemente también un Turdus grayi
brwhaw_26,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Probablemente también un Turdus grayi
brwhaw_27,Broad-winged Hawk,Medium,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_28,Broad-winged Hawk,Low,Call,Yes,NA,Medium,Very low amplitude,Call can be heard if it is amplified.
brwhaw_29,Broad-winged Hawk,Low,Call,Yes,NA,Medium,Very low amplitude,Call can be heard if it is amplified.
brwhaw_30,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_31,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_32,Broad-winged Hawk,Very Low,Call,Yes,NA,Medium,Very low amplitude,Call can be heard if it is amplified.
brwhaw_33,Broad-winged Hawk,Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_34,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_35,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_36,Broad-winged Hawk,Medium,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_37,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_38,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_39,Broad-winged Hawk,Very Low,Call,Yes,NA,Medium,Very low amplitude,Call can be heard if it is amplified.
brwhaw_40,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_41,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
brwhaw_42,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
brwhaw_43,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
brwhaw_44,Broad-winged Hawk,Low,Call,Yes,NA,High,Low amplitude,Call can be heard if it is amplified. 
brwhaw_45,Broad-winged Hawk,Very Low,Call,Yes,NA,Medium,Very low amplitude,Call can be heard if it is amplified. 
brwhaw_46,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
brwhaw_47,Broad-winged Hawk,Medium,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
brwhaw_48,Broad-winged Hawk,Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
brwhaw_49,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
brwhaw_50,Broad-winged Hawk,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
bucmot2_01,Lesson's Motmot,Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
bucmot2_02,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
bucmot2_03,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
bucmot2_04,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
bucmot2_05,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Aparece otra segunda especie no conocida
bucmot2_06,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
bucmot2_07,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Otra especie: Amazona albifrons
bucmot2_08,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
bucmot2_09,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Una segunda especie desconocida
bucmot2_10,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
bucmot2_11,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
bucmot2_12,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. 
bucmot2_13,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Probablemente tambien Melanerpes aurifrons.
bucmot2_14,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bucmot2_15,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bucmot2_16,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Probablemente Turdus grayi
bucmot2_17,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Probablemente Pheugopedius maculipectus.
bucmot2_18,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Un segunda especie no determinada.
bucmot2_19,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bucmot2_20,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,"Call can be heard if it is amplified. Un segunda especie no determinada, quizás un Parúlido."
bucmot2_21,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,"Call can be heard if it is amplified. Un segunda especie, probablemente Pheugopedius maculpectus"
bucmot2_22,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bucmot2_23,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,"Call can be heard if it is amplified. Otra segunda especie, probablemente Pheugopedius maculipectus"
bucmot2_24,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bucmot2_25,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Una segunda especie: Colaptes rubiginosus
bucmot2_26,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bucmot2_27,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bucmot2_28,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bucmot2_29,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
bucmot2_30,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified. Segunda especie: Pheugopedius maculipectus
bucmot2_31,Lesson's Motmot,Very Low,Call,Yes,NA,High,Very low amplitude,Call can be heard if it is amplified.
